ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
2,"$1,500 to $1,999",2018,"2018",3625,366.44508456247576,"Wilmington, NC","16000US3774440","wilmington-nc",0.16068974688594354
3,"$2,000 to $2,999",2018,"2018",5284,443.6496365376625,"Wilmington, NC","16000US3774440","wilmington-nc",0.23423024070215878
4,"$3,000 or More",2018,"2018",6300,448.7939393530176,"Wilmington, NC","16000US3774440","wilmington-nc",0.27926769803626045
5,"No Real Estate Taxes Paid",2018,"2018",401,129.32130528261766,"Wilmington, NC","16000US3774440","wilmington-nc",0.017775610621038166
0,"Less Than $800",2017,"2017",12180473,41910.65273889206,"United States","01000US","united-states",0.16062204206643968
1,"$800 to $1,499",2017,"2017",13486917,50943.805315268706,"United States","01000US","united-states",0.17784992009099979
2,"$1,500 to $1,999",2017,"2017",7370334,32559.669070799842,"United States","01000US","united-states",0.09719147177549761
3,"$2,000 to $2,999",2017,"2017",11752005,47753.8796434384,"United States","01000US","united-states",0.1549718998166171
4,"$3,000 or More",2017,"2017",27833151,98722.03233321322,"United States","01000US","united-states",0.3670315225659601
5,"No Real Estate Taxes Paid",2017,"2017",3210255,18283.512381377925,"United States","01000US","united-states",0.04233314368448568
0,"Less Than $800",2017,"2017",1764,287.4334705631896,"Wilmington, NC","16000US3774440","wilmington-nc",0.07864467231386536
1,"$800 to $1,499",2017,"2017",5254,468.4015371452147,"Wilmington, NC","16000US3774440","wilmington-nc",0.23423985733392777
2,"$1,500 to $1,999",2017,"2017",3704,389.4663014947506,"Wilmington, NC","16000US3774440","wilmington-nc",0.16513597860008916
3,"$2,000 to $2,999",2017,"2017",5438,409.78164917428893,"Wilmington, NC","16000US3774440","wilmington-nc",0.24244315648684797
4,"$3,000 or More",2017,"2017",5817,395.46554843627024,"Wilmington, NC","16000US3774440","wilmington-nc",0.2593401694159608
5,"No Real Estate Taxes Paid",2017,"2017",453,133.4053971921676,"Wilmington, NC","16000US3774440","wilmington-nc",0.020196165849308962
0,"Less Than $800",2016,"2016",12531747,45777.658306208716,"United States","01000US","united-states",0.16735534541254138
1,"$800 to $1,499",2016,"2016",13602086,53076.79362018772,"United States","01000US","united-states",0.18164919869999718
2,"$1,500 to $1,999",2016,"2016",7445603,31198.373835826766,"United States","01000US","united-states",0.09943238256163761
3,"$2,000 to $2,999",2016,"2016",11663686,47806.785480724386,"United States","01000US","united-states",0.1557628157760784
4,"$3,000 or More",2016,"2016",26506698,95975.3177540976,"United States","01000US","united-states",0.3539839736260172
5,"No Real Estate Taxes Paid",2016,"2016",3131248,19009.20306062303,"United States","01000US","united-states",0.04181628392372822
0,"Less Than $800",2016,"2016",1750,239.06902768865731,"Wilmington, NC","16000US3774440","wilmington-nc",0.07943713118474807
1,"$800 to $1,499",2016,"2016",5239,384.3149749879648,"Wilmington, NC","16000US3774440","wilmington-nc",0.2378120744439401
2,"$1,500 to $1,999",2016,"2016",3699,363.0564694369183,"Wilmington, NC","16000US3774440","wilmington-nc",0.16790739900136178
3,"$2,000 to $2,999",2016,"2016",5502,442.4680779446129,"Wilmington, NC","16000US3774440","wilmington-nc",0.24975034044484792
4,"$3,000 or More",2016,"2016",5445,378.40322408774483,"Wilmington, NC","16000US3774440","wilmington-nc",0.2471629596005447
5,"No Real Estate Taxes Paid",2016,"2016",395,124.08464852672145,"Wilmington, NC","16000US3774440","wilmington-nc",0.017930095324557423
0,"Less Than $800",2015,"2015",12879501,48935.47736560869,"United States","01000US","united-states",0.1723884424543813
1,"$800 to $1,499",2015,"2015",13777456,51066.01752633546,"United States","01000US","united-states",0.18440731367028665
2,"$1,500 to $1,999",2015,"2015",7381394,32851.843616454775,"United States","01000US","united-states",0.0987978505380073
3,"$2,000 to $2,999",2015,"2015",11823238,48189.1236276403,"United States","01000US","united-states",0.15825066387179554
4,"$3,000 or More",2015,"2015",25749921,90398.20937385873,"United States","01000US","united-states",0.34465533831732803
5,"No Real Estate Taxes Paid",2015,"2015",3100581,19015.709715916466,"United States","01000US","united-states",0.041500391148201164
0,"Less Than $800",2015,"2015",1839,263.28691574022434,"Wilmington, NC","16000US3774440","wilmington-nc",0.08591049238531252
1,"$800 to $1,499",2015,"2015",5159,425.0176466924638,"Wilmington, NC","16000US3774440","wilmington-nc",0.24100719424460432
2,"$1,500 to $1,999",2015,"2015",3700,409.66327636242914,"Wilmington, NC","16000US3774440","wilmington-nc",0.17284873399981313
3,"$2,000 to $2,999",2015,"2015",5167,461.00433837438015,"Wilmington, NC","16000US3774440","wilmington-nc",0.24138092123703633
4,"$3,000 or More",2015,"2015",5126,392.50222929303214,"Wilmington, NC","16000US3774440","wilmington-nc",0.2394655704008222
5,"No Real Estate Taxes Paid",2015,"2015",415,138.53880322855397,"Wilmington, NC","16000US3774440","wilmington-nc",0.019387087732411473
0,"Less Than $800",2014,"2014",13084968,48472.84374781409,"United States","01000US","united-states",0.17496205914734902
1,"$800 to $1,499",2014,"2014",13717368,51747.27915552662,"United States","01000US","united-states",0.183418022219233
2,"$1,500 to $1,999",2014,"2014",7542643,34096.920124844124,"United States","01000US","united-states",0.10085438120241014
3,"$2,000 to $2,999",2014,"2014",11891354,42869.47282157783,"United States","01000US","united-states",0.1590019770694178
4,"$3,000 or More",2014,"2014",25480506,87258.29093558961,"United States","01000US","united-states",0.3407055942266257
5,"No Real Estate Taxes Paid",2014,"2014",3070621,17287.79826929965,"United States","01000US","united-states",0.04105796613496434
0,"Less Than $800",2014,"2014",2019,275.07271765844024,"Wilmington, NC","16000US3774440","wilmington-nc",0.09426210373967038
1,"$800 to $1,499",2014,"2014",5181,445.8217132442071,"Wilmington, NC","16000US3774440","wilmington-nc",0.24188804332601896
2,"$1,500 to $1,999",2014,"2014",3669,390.11793088757145,"Wilmington, NC","16000US3774440","wilmington-nc",0.17129651244222419
3,"$2,000 to $2,999",2014,"2014",4779,432.90645640830996,"Wilmington, NC","16000US3774440","wilmington-nc",0.2231196601148513
4,"$3,000 or More",2014,"2014",5442,388.3529322665145,"Wilmington, NC","16000US3774440","wilmington-nc",0.2540734861571502
5,"No Real Estate Taxes Paid",2014,"2014",329,126.60568707605518,"Wilmington, NC","16000US3774440","wilmington-nc",0.015360194220084972
0,"Less Than $800",2013,"2013",13204671,48677.49545734661,"United States","01000US","united-states",0.17588475365531056
1,"$800 to $1,499",2013,"2013",13902212,52861.0580389761,"United States","01000US","united-states",0.18517592243562164
2,"$1,500 to $1,999",2013,"2013",7668065,32567.909435516427,"United States","01000US","united-states",0.10213777560515586
3,"$2,000 to $2,999",2013,"2013",12013726,47260.06468467854,"United States","01000US","united-states",0.16002149830104814
4,"$3,000 or More",2013,"2013",25327452,91498.30479850432,"United States","01000US","united-states",0.3373588524649121
5,"No Real Estate Taxes Paid",2013,"2013",2959574,15983.608666380693,"United States","01000US","united-states",0.039421197537951695
0,"Less Than $800",2013,"2013",2063,292.75587099151403,"Wilmington, NC","16000US3774440","wilmington-nc",0.09397348881701817
1,"$800 to $1,499",2013,"2013",5533,497.03319808640543,"Wilmington, NC","16000US3774440","wilmington-nc",0.2520384457705097
2,"$1,500 to $1,999",2013,"2013",3950,406.5193722321237,"Wilmington, NC","16000US3774440","wilmington-nc",0.17992985013437798
3,"$2,000 to $2,999",2013,"2013",4483,427.2154023440634,"Wilmington, NC","16000US3774440","wilmington-nc",0.20420899193732064
4,"$3,000 or More",2013,"2013",5544,415.20236030157633,"Wilmington, NC","16000US3774440","wilmington-nc",0.25253951623923837
5,"No Real Estate Taxes Paid",2013,"2013",380,149.91330828181998,"Wilmington, NC","16000US3774440","wilmington-nc",0.017309707101535097
