city_name,city_latitude,city_longitude
Ammon, 34.800170, -78.580290
Ammon Ford, 34.792670, -78.586680
Amostown, 36.524300, -80.054210
Anchor View Mobile Home Estates, 34.064100, -77.900500
Anderson, 36.267080, -79.345300
Anderson Creek, 35.283490, -78.916970
Anderson Heights, 35.817930, -78.647780
Anderson Heights, 35.342640, -80.152280
Andersons Crossroads, 36.362100, -77.741650
Anderwood Estates, 35.349610, -77.905540
Andrews, 35.201750, -83.824070
Andy Cove, 35.894830, -82.712920
Angelview, 35.763490, -78.366110
Angier, 35.507100, -78.739180
Angola, 34.709890, -77.634970
Ansley Heights, 36.138180, -81.712880
Ansonville, 35.104590, -80.109230
Antioch, 36.153470, -81.021190
Antioch, 34.022950, -78.151660
Antioch, 34.239610, -78.718350
Antioch, 34.885720, -79.208370
Antioch, 35.907600, -82.887650
Anzio Acres, 35.133500, -78.969190
Apex, 35.732650, -78.850290
Appie, 35.595990, -77.744980
Apple Creek, 35.175140, -80.666460
Apple Grove, 36.528730, -81.584830
Apple Mobile Home Park, 34.737040, -76.730930
Apple Ridge, 36.110130, -81.642600
Applegate, 36.135410, -80.072540
Aquadale, 35.227370, -80.225620
Aquone, 35.207310, -83.627110
Arabia, 34.950160, -79.125590
Aragona Village, 34.764330, -77.346350
Arapahoe, 35.025720, -76.825490
Ararat, 36.404030, -80.560620
Arba, 35.401270, -77.702200
Arbor Acres, 35.798750, -80.226990
Arbor Hills, 35.572940, -77.314130
Arcadia, 36.070970, -80.245880
Arcadia, 35.947360, -80.308390
Archdale, 35.194020, -81.401750
Archdale, 35.914580, -79.971980
Archer Lodge, 35.694040, -78.375560
Archer Woods, 36.044860, -78.971400
Arcola, 36.289590, -77.979990
Arden, 35.466230, -82.516510
Ardennes, 35.160440, -78.983640
Ardmore, 36.084860, -80.273940
Ardulusa, 34.962940, -78.916970
Argura, 35.267600, -83.040970
Arlington, 35.269310, -80.972570
Arlington, 36.227360, -80.833400
Armour, 34.347110, -78.254170
Arnold, 35.893470, -80.280610
Arnolds Mobile Home Park, 34.922200, -77.562500
Arran Hills, 35.029610, -78.987250
Arran Lakes, 35.029050, -78.977530
Arran Lakes North, 35.039330, -78.990860
Arran Lakes West, 35.014890, -78.988640
Arringdale, 36.531260, -76.184100
Arrowhead, 36.159580, -79.127510
Arrowhead, 34.147390, -77.920540
Arrowhead Beach, 36.223210, -76.709390
Arrowood, 35.761540, -78.569170
Arrwood Mill, 35.110640, -83.940740
Artesia, 34.322390, -78.575010
Asbury, 35.790150, -78.737500
Asbury, 35.608200, -79.199740
Asbury, 35.493750, -79.773920
Asbury, 36.529580, -80.421170
Ascot II, 35.143220, -78.877530
Ash, 34.066840, -78.526400
Ash Hill, 36.393190, -80.573120
Ashbrook Park, 35.775410, -80.950910
Ashburk, 35.907100, -77.850540
Ashe Island, 34.478220, -77.466350
Asheboro, 35.707910, -79.813640
Ashebrook Park, 35.342360, -81.226190
Asheville, 35.600950, -82.554020
Ashford, 35.871520, -81.947890
Ashland, 36.440960, -81.659560
Ashland, 36.085990, -76.779950
Ashland, 36.329860, -79.516690
Ashley Forest, 35.946810, -79.055290
Ashley Heights, 35.385980, -80.206450
Ashley Heights, 35.090440, -79.369760
Ashley Park, 35.234590, -80.891460
Ashley Park, 35.851260, -78.641110
Ashley Place, 34.805440, -76.885220
Ashmont, 35.070440, -79.355030
Ashton, 34.475440, -77.901100
Ashwood, 35.074050, -76.716040
Askewville, 36.109880, -76.939950
Askin, 35.220440, -77.066610
Atando Junction, 35.260980, -80.816740
Atkins Island, 35.958210, -76.012700
Atkinson, 34.528500, -78.171110
Atkinson Island, 34.069060, -78.340560
Atlantic, 34.884890, -76.340470
Atlantic Beach, 34.699050, -76.740210
Atlantic Mobile Home Park, 34.746100, -76.816000
Atwood, 36.049860, -80.326440
Atwood Acres, 36.049300, -80.305330
Auburn, 35.693210, -78.555280
Aulander, 36.229600, -77.114130
Auld Farm, 35.971240, -81.430650
Aumans Crossroads, 35.558750, -79.839200
Aurelian Springs, 36.364320, -77.806930
Aurora, 35.305450, -76.788540
Austin, 36.323740, -80.977020
Austin Pines, 35.922380, -77.561360
Autryville, 34.997950, -78.642510
Autumnwood, 35.280700, -80.750900
Avalon Bench, 36.042670, -75.677950
Avalon Valley, 36.062910, -79.377240
Aventon, 36.152930, -77.949710
Avery Creek, 35.463450, -82.582620
Avoca, 36.002660, -76.711610
Avocet, 35.606970, -78.870850
Avon, 35.352120, -75.510430
Avondale, 35.269570, -81.790660
Axtell, 36.362650, -78.256380
Aycock Crossing, 35.626830, -78.054160
Ayden, 35.472660, -77.415520
Aydlett, 36.325990, -75.906860
Ayersville, 36.487080, -80.025040
Azalea, 35.580110, -82.471230
Azalea Gardens Mobile Home Park, 35.579050, -77.314410
Azalea Mobile Home Park, 34.215400, -77.897500
Bacchus, 35.927890, -82.205400
Bachelor, 34.907940, -76.753540
Badin, 35.405970, -80.116720
Bagley, 35.576550, -78.169440
Bahama, 36.165980, -78.876670
Bahama Park, 35.322920, -80.858960
Bailey, 35.780710, -78.118880
Bailey, 36.053170, -82.325690
Bailey Camp, 36.104570, -81.645940
Bailey Hills, 35.894870, -80.938110
Baileytown, 36.319580, -80.142270
Bainbridge, 35.690430, -78.599170
Baker Crossroads, 35.392630, -81.452590
Baker Island, 36.500150, -77.797210
Bakers, 35.027370, -80.603680
Bakers Crossroads, 36.367080, -79.809760
Bakersville, 35.344570, -81.915380
Bakersville, 36.015670, -82.158740
Bakertown, 35.930140, -79.967260
Bald Creek, 35.912060, -82.422630
Bald Head Island, 33.859900, -77.989430
Bald Mountain, 35.964550, -82.471800
Baldwin, 36.347630, -81.532880
Baldwin Estates Mobile Home Park, 34.236900, -77.999200
Baldwin Woods, 34.342670, -78.689180
Balfour, 35.346510, -82.472060
Ball Island, 35.194890, -76.565760
Ballantyne East, 35.050160, -80.837920
Ballantyne West, 35.050800, -80.859800
Ballard, 35.903770, -77.148850
Ballard Crossroads, 36.410430, -76.798840
Ballards Crossroad, 35.547940, -77.503300
Ballow Mobile Home Park, 34.736100, -76.729300
Balm, 36.169850, -81.852330
Balsam, 35.426770, -83.085140
Balsam Grove, 35.229550, -82.873740
Baltic, 34.993780, -78.159710
Baltimore, 36.147920, -80.529780
Baltimore, 34.436560, -78.440280
Bamboo, 36.193740, -81.607880
Bandana, 35.973170, -82.175960
Bandy, 35.642080, -81.089800
Banks, 35.635710, -78.714180
Banner Elk, 36.163180, -81.871500
Bannertown, 36.485690, -80.590060
Bannertown, 36.252080, -80.251440
Banoak, 35.586240, -81.408980
Barb Crest Trailer Park, 34.343300, -78.712300
Barbecue, 35.335990, -79.038640
Barber, 36.122660, -76.592440
Barber, 35.726250, -80.641730
Barberry Heights, 35.190110, -82.763460
Barclay Downs, 35.783210, -78.533060
Barclay Downs, 35.157370, -80.834240
Barclay Hills, 34.246840, -77.902490
Barclaysville, 35.468770, -78.694180
Barco, 36.391820, -75.979650
Baregrass Island, 34.655440, -76.538260
Barham, 35.942100, -78.404160
Barium Springs, 35.719030, -80.898130
Barker Heights, 35.311230, -82.444010
Barker Ten Mile, 34.679890, -78.988640
Barlowes, 34.445720, -77.597470
Barnard, 35.839550, -82.754030
Barnardsville, 35.777610, -82.454850
Barnesville, 34.408780, -79.046700
Barrett, 36.527350, -80.968130
Barretts Crossroads, 36.470430, -77.055520
Barriers Mill, 35.356810, -80.427840
Barrington Hills, 35.935700, -79.099730
Bartlett, 36.289320, -76.084370
Bartley Island, 35.921210, -82.857920
Bartonsville, 36.475150, -76.958570
Bass Crossroads, 35.984320, -78.078600
Bass Lake, 35.289560, -82.625400
Basstown, 35.087110, -78.356390
Bastogne Gables, 35.155440, -78.990030
Bat Cave, 35.451510, -82.287060
Bataan, 35.160720, -78.974190
Batarora, 34.240170, -78.144440
Batchelor Crossroads, 35.948490, -78.016100
Bates Creek, 35.113140, -84.052970
Bath, 35.477110, -76.811600
Baton, 35.807350, -81.531760
Battery Island, 33.909340, -78.010540
Battle Forest, 36.140140, -79.840030
Battleboro, 36.049040, -77.749140
Battleground, 36.242350, -81.931500
Batts Court, 35.604610, -77.478580
Batts Crossroads, 35.690440, -77.079960
Batts Island (historical), 36.075160, -76.391330
Baum Point Island, 36.023220, -75.702400
Baumtown, 35.850450, -75.654060
Baxter, 35.317340, -82.347890
Bay City, 35.179330, -76.770490
Bay Hammock, 35.234890, -76.577150
Bay Tree, 36.290720, -75.851030
Bay Woods, 34.796550, -76.889390
Bayberry Bluffs, 36.171000, -75.752690
Bayboro, 35.142940, -76.770210
Bayleaf, 35.395440, -77.906650
Bayleaf, 35.944040, -78.642780
Baymount Meadows, 35.845140, -80.831460
Baynes, 36.269030, -79.304740
Bayshore, 34.745160, -77.424960
Bayshore, 34.289610, -77.787480
Bayshore Park, 34.692380, -77.049110
Baytree, 35.585160, -77.349410
Bayview, 35.436830, -76.791880
Baywood, 35.546830, -77.390520
Beach Grove, 35.262390, -76.805490
Beach Island, 35.002940, -76.290470
Beach Land Landing, 35.792660, -75.908520
Beach Springs, 36.209320, -76.514660
Beacon Hills, 36.001520, -81.537880
Beacon Island, 35.098230, -76.046850
Beacon Island Roads, 35.098500, -76.045460
Beacon Lake, 35.795710, -78.573340
Beam Mill, 35.390130, -81.497030
Beaman Crossroads, 35.119330, -78.413890
Bean Island, 34.766000, -76.410470
Bear Creek, 34.662940, -77.180510
Bear Creek, 35.616810, -79.384740
Bear Creek, 35.271760, -83.722120
Bear Grass, 35.766270, -77.127460
Bear Hammock, 34.981830, -76.326300
Bear Island, 34.631830, -77.148840
Bear Island, 34.684880, -77.006330
Bear Pen Islands, 34.121280, -78.361950
Bear Pond, 36.277090, -78.405830
Bear Poplar, 35.675970, -80.693400
Bear Wallow Hollow, 35.109820, -82.955970
Bear Wallow Springs, 35.111760, -82.959030
Bearcreek, 35.385160, -77.896930
Beard, 35.116550, -78.798910
Bearhead, 36.297380, -75.849080
Bearskin, 35.054060, -78.436670
Bearslide, 36.487640, -79.744480
Beartrap Island, 34.280170, -78.450290
Bearwallow, 35.463170, -82.316230
Beasley, 35.915720, -76.548830
Beatty Ford Islands (historical), 35.499020, -80.962300
Beaufort, 34.718220, -76.663820
Beaufort Meadows, 34.737110, -76.642710
Beaumont, 35.277340, -82.485400
Beautancus, 35.117670, -78.038320
Beaver Creek, 35.093770, -78.986140
Beaver Creek, 36.377350, -81.502330
Beaver Island, 36.460140, -79.990040
Beaverbrook, 35.278470, -81.193970
Beaverdam, 36.270710, -77.706920
Beaverdam, 35.497330, -82.686790
Beckana, 35.831540, -78.671670
Beckford Junction, 36.383490, -76.592450
Beckwith, 35.529330, -76.780770
Bedford, 35.557940, -77.383580
Bee Log, 35.984550, -82.408740
Beech, 35.711780, -82.470130
Beech Bottom, 36.072070, -82.009010
Beech Brook, 35.259580, -81.064520
Beech Creek, 36.257620, -81.900670
Beech Glen, 35.818720, -82.504580
Beech Grove Mobile Home Park, 35.158200, -77.117300
Beech Island, 34.034060, -78.605290
Beech Mountain, 36.210960, -81.889000
Beechcroft, 36.044300, -79.886420
Beechertown, 35.273420, -83.679890
Beechtree, 35.823760, -78.777510
Beechwood Shores, 36.473770, -76.100490
Beeson Crossroads, 36.086250, -80.101150
Bel Air, 34.782110, -79.443380
Bel-Air, 35.911270, -77.838040
Bel-Air Forest, 35.705160, -77.880260
Belair, 35.012390, -78.899190
Belair Estates, 35.462940, -77.412190
Belcross, 36.347930, -76.154650
Belews Creek, 36.244580, -80.069760
Belfast, 35.427110, -77.981930
Belgrade, 34.880160, -77.234950
Belhaven, 35.540170, -76.622990
Bell Arthur, 35.590440, -77.513580
Bell Fork, 34.761550, -77.400240
Bell Fork, 35.564880, -77.349410
Bell Fork Homes, 34.756270, -77.400240
Bell Island, 36.427930, -75.973810
Bell Swamp, 34.133230, -78.096100
Bellair, 35.165440, -77.121060
Bellamy, 34.585720, -78.887530
Belle Meade, 35.742100, -77.961100
Bellemeade, 35.700140, -80.453110
Bellemont, 36.025690, -79.443080
Bellevue Terrace, 35.831820, -78.642780
Bells, 35.751540, -79.008340
Bells Crossroads, 35.654300, -80.885910
Bells Crossroads, 34.426280, -77.961380
Bells Crossroads, 35.709050, -77.463020
Bells Island, 34.732110, -76.500480
Bells Island, 35.880450, -75.608230
Belltown, 36.269310, -78.611110
Bellview, 34.991190, -84.067130
Bellwood, 35.765420, -80.806180
Belmont, 35.685140, -80.484500
Belmont, 35.242920, -81.037300
Belmont, 36.464870, -77.679700
Belmont, 35.772080, -80.853960
Belmont, 35.234590, -80.814240
Belmont, 36.334020, -79.686140
Belva, 35.934270, -82.742920
Belvedere, 35.923490, -77.551640
Belvedere, 35.570160, -77.392190
Belvidere, 36.268770, -76.535780
Belville, 34.230730, -77.965820
Belvoir, 35.708210, -77.464970
Belwood, 35.477080, -81.523420
Benaja, 36.249860, -79.677250
Bending Brook, 35.698470, -80.241440
Benham, 36.290410, -80.917570
Bennett, 35.565420, -79.543640
Benson, 35.382110, -78.548620
Benson Islet, 34.458780, -78.532510
Bent Creek, 35.509000, -82.607900
Bent Creek, 36.012610, -82.385970
Bent Tree, 35.307340, -82.486510
Benton Heights, 34.997090, -80.549790
Benton Hills, 35.271780, -82.687900
Bentons Crossroads, 35.104040, -80.536460
Bentonville, 35.348770, -78.296940
Berea, 36.320700, -78.741670
Berkeley, 35.952930, -77.861090
Berkeley Manor Area, 34.709050, -77.349400
Berkeley Village, 35.361270, -77.945260
Berkley Place, 35.464600, -79.183360
Berkshire Hills, 35.781250, -80.866740
Berkshire Hills, 35.966240, -81.443150
Bermuda Run, 36.003750, -80.422000
Bernwood Mobile Home Park, 35.064200, -77.026700
Berry Mill, 35.169540, -83.302930
Berryhill, 35.218750, -80.974240
Berryland, 36.233470, -79.024730
Bertha, 36.273220, -75.910470
Bertie Mobile Homes, 36.088800, -77.112000
Bertram Mobile Home Park, 34.734400, -76.632700
Bessemer, 36.083750, -79.742810
Bessemer City, 35.284860, -81.283970
Bessie, 35.156210, -83.174590
Best, 35.343770, -77.848870
Beta, 35.394820, -83.190420
Bethania, 36.182360, -80.338110
Bethania Station, 36.169580, -80.290330
Bethany, 36.307360, -79.858650
Bethany Crossroads, 35.063500, -78.696680
Bethel, 36.293460, -81.849280
Bethel, 36.453470, -79.451690
Bethel, 34.124060, -78.712790
Bethel, 35.473440, -82.895970
Bethel, 35.883170, -82.477080
Bethel, 36.114050, -76.481610
Bethel, 35.807100, -77.378860
Bethel Hill, 36.504590, -78.916950
Bethesda, 35.942370, -78.838340
Bethesda, 35.879580, -80.240880
Bethlehem, 35.825690, -81.307030
Bethlehem, 36.277930, -76.885510
Bethlehem, 36.455690, -79.718640
Bethney Heights, 35.399590, -80.209780
Bettie, 34.791270, -76.596040
Beulah, 36.474850, -80.773960
Beulah, 35.421550, -76.493260
Beulah, 35.285390, -82.117060
Beulah, 34.950170, -78.336670
Beulahtown, 35.593770, -78.171380
Beulaville, 34.923780, -77.773870
Beverly Heights, 35.809300, -80.904240
Beverly Hills, 36.103470, -79.417240
Beverly Hills, 35.585670, -82.504570
Beverly Woods, 35.135420, -80.843410
Beverly Woods East, 35.135420, -80.835900
Biddleville, 35.226250, -80.859240
Big Curve, 34.218500, -78.429450
Big Deep Marsh Island, 34.686550, -76.497140
Big East Fork, 35.364270, -82.820130
Big Island, 34.845450, -78.749190
Big Island, 34.092120, -78.299720
Big Island, 34.823500, -76.424920
Big Island, 34.263780, -78.549180
Big Island, 35.825170, -75.654340
Big Island, 35.741240, -81.954550
Big Island, 35.947380, -76.052420
Big Island, 34.998760, -79.898670
Big Laurel, 35.927880, -82.675970
Big Laurel, 35.339260, -83.351820
Big Lick, 35.241530, -80.343950
Big Penguin Island, 35.911280, -75.613510
Big Perch Island, 36.536540, -75.897420
Big Pine, 35.790940, -82.808470
Big Ridge, 35.206490, -83.089860
Big Swan Island, 35.078500, -76.416030
Big Tim Island, 35.795730, -75.560720
Bilboa, 35.955980, -78.852780
Bills Creek, 35.448730, -82.145940
Biltmore, 35.611830, -77.389410
Biltmore Forest, 35.533720, -82.528460
Biltmore Hills, 35.751260, -78.623340
Biltmore South, 35.554920, -82.535780
Biltmore Village, 35.567180, -82.541700
Bina, 36.483730, -81.499000
Bingham Heights, 35.610670, -82.585680
Birchwood, 35.604050, -77.594420
Birchwood, 36.138750, -79.468080
Birchwood Hills Estates, 35.843480, -78.673340
Birchwood Homes, 35.966540, -77.954980
Birchwood Lake Estates, 35.976530, -79.027230
Birchwood Park, 34.764050, -77.341350
Birchwoods Sands Mobile Home Park, 35.673300, -77.444700
Bird Cage, 34.346000, -78.843910
Bird Island, 33.857120, -78.538620
Bird Islands, 35.298790, -75.662110
Birds Cove Island, 34.412950, -78.095830
Birds Island, 35.299070, -75.663220
Birdtown, 35.468710, -83.352100
Biscoe, 35.359860, -79.779760
Bishop, 34.179060, -78.084990
Bishops Cross, 35.611000, -76.677710
Bishops Ridge, 35.132370, -80.779790
Bixby, 35.940140, -80.455060
Bizza Ridge, 35.111270, -78.995580
Black Ankle, 35.502080, -79.807260
Black Creek, 35.635160, -77.933040
Black Hammock, 35.334070, -75.517100
Black Jack, 35.501830, -77.247740
Black Mountain, 35.617900, -82.321230
Black Water, 36.397080, -80.623950
Blackberry Inn, 35.702340, -82.429570
Blackburn, 35.615970, -81.330920
Blackhawk, 35.812370, -78.792780
Blackmans Mills, 35.247940, -78.407780
Blackmon Crossroads, 35.368500, -78.428340
Blacknel, 35.614600, -79.111130
Blackrock, 36.053490, -76.740230
Blackwell, 36.442640, -79.463630
Blackwood, 35.992360, -79.072230
Blackwood Park, 35.245970, -81.218410
Bladen Springs, 34.537390, -78.475010
Bladenboro, 34.538780, -78.787520
Blades, 34.885990, -76.772160
Blaine, 35.491250, -80.059220
Blairmont, 36.205410, -81.642880
Blairs Island, 36.157910, -81.133420
Blanch, 36.507920, -79.295020
Blands, 35.887920, -78.957230
Blands Crossroads, 35.181270, -77.709140
Blantyre, 35.300110, -82.625960
Blennerhassett Island, 35.796500, -82.687360
Blevins Crossroads, 36.542350, -81.013970
Blinds Hammock, 34.649050, -76.530200
Blizzards Crossroads, 35.136550, -77.901650
Bloomfield, 35.790690, -80.915910
Bloomingdale, 34.440720, -79.020310
Bloomington, 35.332640, -80.305340
Blossomtown, 35.150370, -83.393490
Blount, 35.916550, -76.600500
Blounts Creek, 35.349890, -76.959940
Blowing Rock, 36.135130, -81.677610
Blowing Rock Estates, 36.112910, -81.659550
Blue Acres, 34.744600, -79.513660
Blue Clay Farms, 34.298830, -77.891500
Blue Ridge, 35.350390, -82.362890
Blue Ridge Forest, 35.541230, -82.385950
Blue Ridge Overlook, 35.220950, -82.662350
Blue Rock, 35.890670, -82.179570
Bluefield, 34.524890, -78.601960
Bluesprings Woods, 35.020440, -79.007250
Bluff, 35.837880, -82.857920
Bluff Island, 33.862400, -77.962210
Bluffs of Eno, 36.089310, -79.036120
Bluford Heights, 36.047360, -79.760310
Boardman, 34.439060, -78.949200
Boat Island, 34.651840, -78.389170
Bob White Fork, 36.193770, -76.207990
Bobbitt, 36.220980, -78.396660
Bobs Island, 36.220160, -75.801020
Bodie Island, 35.894340, -75.589620
Boger City, 35.480690, -81.213410
Bogue, 34.699330, -77.036890
Bogue View Shores, 34.701550, -76.781050
Bohaynee, 35.062590, -83.009590
Boiling Spring Lakes, 34.030450, -78.067210
Boiling Springs, 35.254290, -81.667040
Boiling Springs, 35.205920, -84.009630
Bolivia, 34.067670, -78.148330
Bolling, 36.465150, -77.694150
Bolton, 34.320720, -78.401950
Bon Air, 36.128470, -80.241990
Bonair Place, 34.977660, -78.935310
Bonanza Hills, 36.181250, -80.078380
Bones Ford, 35.119050, -79.080030
Bonham Heights, 34.725990, -76.776600
Bonlee, 35.645980, -79.414470
Bonnerton, 35.358500, -76.859660
Bonnetsville, 34.990450, -78.394720
Bonnie Doone, 35.095160, -78.955580
Bonsal, 35.660430, -78.973620
Booetown, 35.907920, -80.554500
Boogertown, 35.218190, -81.159800
Booker T Washington, 35.249610, -77.577470
Boomer, 36.067350, -81.253700
Boone, 36.216790, -81.674550
Boone Fork, 36.122350, -81.738440
Boone Trail, 35.417380, -78.961130
Boones Crossroads, 36.338770, -77.418580
Boones Hill, 36.475690, -80.575060
Boonford, 35.930400, -82.169010
Boonville, 36.232640, -80.708120
Bordeaux, 35.028220, -78.936140
Borden Heights, 35.024330, -78.908640
Borden Homes, 35.400720, -78.009430
Bostian Heights, 35.754580, -80.929240
Bostian Heights, 35.560420, -80.523670
Bostic, 35.362620, -81.835660
Boswell, 35.579000, -82.614290
Boswellville, 35.674600, -77.972490
Bougainville, 35.144610, -78.971420
Bowdens, 35.057110, -78.115550
Bowdens Mobile Home Park, 34.144700, -77.902000
Bowditch, 35.884010, -82.216230
Bowlens Creek, 35.877890, -82.285130
Bowling Heights, 35.062940, -77.029390
Bowman Bluff, 35.303730, -82.561790
Bowmore, 34.942110, -79.303090
Boyd Crossroads, 35.530720, -77.188570
Boyds Fork, 35.545160, -76.845500
Boylan Heights, 35.775710, -78.650840
Boyles Chapel, 36.350120, -80.330310
Boylston, 35.350110, -82.623460
Boylston Creek, 35.315670, -82.660680
Bradford Crossroads, 35.783470, -81.004800
Bradley Creek East Estates, 34.223780, -77.839150
Bradley Creek Point, 34.211280, -77.822210
Bradley Park, 34.215450, -77.849150
Braggtown, 36.034870, -78.891950
Brake, 35.923210, -77.737750
Bramblewood, 34.964320, -80.552840
Branchwood, 35.302110, -77.666080
Branchwood, 34.785440, -77.413020
Brandermill, 35.863210, -78.662500
Brandon, 35.145700, -80.854790
Brandon, 36.535680, -81.510940
Brandywine, 34.263230, -77.810820
Brandywine Estates, 36.532080, -79.798370
Branon, 36.120690, -80.739510
Branshermill, 35.784050, -77.884150
Brant Island, 36.326270, -75.846580
Brant Island (historical), 35.210440, -76.442980
Brantley Island, 33.911560, -78.414730
Brantleys Grove, 36.321270, -76.948850
Brassfield, 35.931260, -78.850560
Brasstown, 35.039530, -83.956850
Braswell, 34.368780, -78.867520
Braswells Crossroads, 36.084880, -77.381910
Brays Estate - Mobile Home Park, 36.336400, -76.271000
Breckenridge, 35.722660, -77.948320
Breezewood Acres, 35.001000, -78.923360
Brendletown, 35.240370, -83.340430
Brentwood, 35.825150, -78.601950
Brentwood, 35.586830, -77.377470
Brentwood, 35.041830, -78.984470
Brentwood, 35.924050, -77.575250
Brentwood, 35.471540, -79.212520
Brentwood, 35.296550, -77.564410
Brentwood Acres, 35.657360, -80.442280
Brentwood Forest, 35.752380, -77.927480
Brentwood Village, 35.837930, -78.600840
Brevard, 35.233450, -82.734290
Brewers Crossroads, 36.509040, -77.603040
Briar Creek Mobile Home Park, 34.745800, -77.497300
Briarcliff, 35.928480, -79.015290
Briarcliff, 35.694580, -79.775030
Briarcliff, 35.845710, -78.650280
Briarcliff Manor, 36.062920, -80.288380
Briarwood, 36.279600, -76.250770
Briarwood Acres, 35.015980, -80.581730
Briarwood Terrace, 35.278500, -77.649690
Briarwood Townhouses, 35.295130, -81.523700
Brice, 35.191510, -81.849550
Brices Creek, 35.055990, -77.087730
Brices Crossroads, 34.818780, -78.101380
Brick Landing, 33.904890, -78.391950
Brick Landing Plantation, 33.910560, -78.404020
Brickhaven, 35.574880, -79.028910
Brickton, 35.409000, -82.513450
Brickwood, 35.464320, -79.056410
Bridgersville, 35.756270, -77.751370
Bridgeton, 35.121550, -77.020780
Bridgewater, 35.711520, -81.862600
Bridle Creek, 35.032940, -78.988080
Brief, 35.190140, -80.533400
Brier Creek, 35.909770, -78.799010
Briertown, 35.262310, -83.612390
Brigadoon, 36.054030, -79.018620
Brigadoon, 35.634880, -78.467780
Brightwater, 35.330950, -82.519570
Brightwater East, 35.333450, -82.512900
Brightwood, 36.132910, -79.759470
Brims Grove, 36.412360, -80.415610
Brindletown, 35.625130, -81.800660
Brinkley Estates, 36.221800, -80.118930
Brinkleyville, 36.322930, -76.968570
Brinkleyville, 36.276260, -77.853590
Bristol Terrace, 35.783470, -80.939800
Brite Meadows, 36.312660, -76.246050
British Acres, 36.135410, -79.462800
British Woods, 35.736270, -77.946370
British Woods, 35.898190, -81.537600
British Woods, 36.122080, -79.851140
British Woods, 35.143200, -80.891740
Brittain Village, 35.259570, -81.568430
Brittany Ridge, 35.573220, -77.325800
Brittland Mobile Home Park, 34.555200, -79.000500
Broad Acres, 35.081550, -78.908640
Broad Acres, 36.037080, -79.394740
Broad Creek, 34.720720, -76.936330
Broadell, 35.092110, -78.891970
Broadview, 35.794860, -80.826460
Broadview, 35.566500, -82.504850
Broadview, 36.119580, -79.784200
Broadview Acres, 35.017930, -80.540620
